offset,result,steps,price
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,SUCCESS,7,1009.15
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,SUCCESS,3,1010.95
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,SUCCESS,25,1012.79
-0.05,TIMEOUT,51,
-0.01,SUCCESS,46,1012.89
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,SUCCESS,38,1015.29
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,SUCCESS,38,1017.39
-0.05,TIMEOUT,51,
-0.01,SUCCESS,46,1018.69
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,SUCCESS,42,1019.75
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
-0.01,SUCCESS,41,1020.39
-0.05,TIMEOUT,51,
-0.01,SUCCESS,46,1021.09
-0.05,TIMEOUT,51,
-0.01,TIMEOUT,51,
-0.05,TIMEOUT,51,
